type,node,server,direct_path,node_to_dc,DC_to_server,stretch
IndirectionDC,pluto.cs.brown.edu,planetlabone.ccs.neu.edu,3.307,13.3246602671,13.3246602671,8.05845797829
IndirectionDC,planetlab1.cs.uoregon.edu,planetlab01.cs.washington.edu,7.189,19.404631784,19.404631784,5.39842308638
IndirectionDC,planetlab1.temple.edu,planetlab3.rutgers.edu,3.016,10.8519496383,37.7827410192,16.1255605628
IndirectionDC,planetlab1.temple.edu,planetlab-01.cs.princeton.edu,4.935,10.8519496383,42.5867864078,10.8285179425
IndirectionDC,planetlab1.temple.edu,planetlab-03.cs.princeton.edu,5.017,10.8519496383,42.7752293987,10.6890928916
IndirectionDC,planetlab1.temple.edu,planetlab1.rutgers.edu,3.692,10.8519496383,38.4141203008,13.3440059423
IndirectionDC,planetlab3.rutgers.edu,planetlab1.temple.edu,2.998,10.8519496383,49.4946856029,20.12896439
IndirectionDC,planetlab3.rutgers.edu,planetlab-01.cs.princeton.edu,12.325,37.7827410192,42.5867864078,6.52085415229
IndirectionDC,planetlab3.rutgers.edu,planetlab-03.cs.princeton.edu,12.173,37.7827410192,42.7752293987,6.61775818762
IndirectionDC,planetlab3.rutgers.edu,planetlabone.ccs.neu.edu,9.636,13.3246602671,39.8358162072,5.51686140248
IndirectionDC,planetlab3.eecs.umich.edu,planetlab2.emich.edu,1.061,21.151774993,21.4281709354,40.1319000268
IndirectionDC,planetlab-01.cs.princeton.edu,pluto.cs.brown.edu,14.824,15.5936857939,69.5481640212,5.74351388391
IndirectionDC,planetlab-01.cs.princeton.edu,planetlab1.temple.edu,4.787,10.8519496383,51.7182340662,13.0708551712
IndirectionDC,planetlab-01.cs.princeton.edu,planetlab3.rutgers.edu,12.092,37.7827410192,68.7502385857,8.81020340762
IndirectionDC,planetlab-01.cs.princeton.edu,planetlabone.ccs.neu.edu,13.916,13.3246602671,73.8507575167,6.26440196779
IndirectionDC,planetlab-01.cs.princeton.edu,planetlab1.rutgers.edu,12.885,38.4141203008,69.673701559,8.38865516956
IndirectionDC,planetlab2.cs.uoregon.edu,planetlab01.cs.washington.edu,7.649,19.404631784,19.404631784,5.07376958661
IndirectionDC,planetlab01.cs.washington.edu,planetlab1.cs.uoregon.edu,7.206,19.404631784,28.9460027832,6.70977443342
IndirectionDC,planetlab01.cs.washington.edu,planetlab2.cs.uoregon.edu,7.677,19.404631784,29.0883529084,6.31665815975
IndirectionDC,planetlab01.cs.washington.edu,planetlab4.cs.uoregon.edu,7.136,19.404631784,29.1121800724,6.79888058526
IndirectionDC,planetlab4.cs.uoregon.edu,planetlab01.cs.washington.edu,7.119,19.404631784,19.404631784,5.45150492597
IndirectionDC,planetlab-03.cs.princeton.edu,planetlab1.temple.edu,4.817,10.8519496383,51.7182340662,12.9894506341
IndirectionDC,planetlab-03.cs.princeton.edu,planetlab3.rutgers.edu,11.807,37.7827410192,68.7502385857,9.02286606292
IndirectionDC,planetlab-03.cs.princeton.edu,planetlabone.ccs.neu.edu,13.767,13.3246602671,73.8507575167,6.33220148063
IndirectionDC,planetlab-03.cs.princeton.edu,planetlab1.rutgers.edu,12.778,38.4141203008,69.673701559,8.45889981686
IndirectionDC,planetlabone.ccs.neu.edu,planetlab3.rutgers.edu,9.788,13.3246602671,37.7827410192,5.2214345409
IndirectionDC,planetlab1.rutgers.edu,planetlab1.temple.edu,4.003,10.8519496383,49.4946856029,15.0753522961
IndirectionDC,planetlab1.rutgers.edu,planetlab-01.cs.princeton.edu,12.831,38.4141203008,42.5867864078,6.31290676554
IndirectionDC,planetlab1.rutgers.edu,planetlab-03.cs.princeton.edu,12.710,38.4141203008,42.7752293987,6.38783239178
